"Melangyna arctica",383,0
"Melanostoma mellinum",449,0
"Mesembrina latreillii",2201,28083
"Microchrysa polita",0,163
"Minettia lupulina",0,663
"Mompha conturbatella",0,44543
"Mompha subbistrigella",0,24
"Mycetophila fungorum",0,156
"Mydaea affinis",0,8522
"Mydaea furtiva",179,524
"Mydaea obscurella",92,0
"Mydaea palpalis",54,0
"Mydaea pseudonubila",0,2393
"Myodes rutilus",0,84
"Myrmica alaskensis",0,207
"Myrmica incompleta",0,913
"Odontothrips loti",0,66
"Olethreutes bipunctana",12,0
"Orthocentrus winnertzii",0,18
"Oxypoda sylvia",0,1119
"Paluda gladiola",0,4617
"Paraliburnia kilmani",0,28
"Pardosa moesta",0,264
"Pardosa palustris",63,0
"Pardosa uintana",0,50
"Patrobus foveocollis",0,1363
"Pegomya circumpolaris",0,1971
"Pegomya geniculata",0,1081
"Pegomya winthemi",0,1059
"Pegoplata aestiva",25,0
"Peristenus howardi",0,12
"Phaonia bysia",0,2794
"Phaonia consobrina",8218,0
"Phaonia errans",317,295
"Phaonia hybrida",2006,0
"Phaonia luteva",223,21536
"Phaonia protuberans",319,0
"Phaonia serva",0,18712
"Philodromus rufus",0,1792
"Phora occidentata",0,2468
"Pipunculus hertzogi",14,0
"Pityohyphantes alticeps",0,87
"Platycheirus peltatoides",227,0
"Plectiscidea venusta",0,40
"Poeciloneta calcaratus",0,292
"Pollenia vagabunda",0,104
"Prepops nigripilus",0,16154
"Proclitus ardentis",0,109
"Psila washingtona",34,0
"Pycnoglypta campbelli",0,960
"Rhadiurgus variabilis",0,108999
"Rhamphomyia praecipua",16,0
"Rhaphium femoratum",0,113
"Rhopalopterum soror",0,14
"Rhopobota naevana",0,5816
"Sarcophaga caerulescens",0,13578
"Sargus viridis",368,0
"Scathophaga spurca",0,1254
"Scatopsciara atomaria",0,24
"Scoliocentra flavotestacea",0,899
"Sepsis flavimana",54,0
"Sepsis punctum",0,10
"Simulium truncatum",0,30
"Siphonella oscinina",0,1083
"Sitticus striatus",0,252
"Sorhoanus xanthoneurus",0,2214
"Speyeria mormonia",0,169420
"Spilogona anthrax",1157,1862
"Spilogona contractifrons",70,0
"Spilogona forticula",0,38
"Spilogona pacifica",694,816
"Spilogona suspecta",0,116
"Spilogona trigonifera",0,309
"Stephostethus liratus",0,17
"Stictochironomus sticticus",0,692
"Suillia mikii",0,8511
"Sylvicola fuscatus",14,0
"Syngrapha octoscripta",0,5944
"Syrphus ribesii",0,8527
"Tachinus quebecensis",0,35
"Tachypeza fenestrata",0,438
"Taeniothrips orionis",0,117
"Tanytarsus heliomesonyctios",0,408
"Tanytarsus lugens",0,249
"Tetanocera silvatica",23,0
"Tetrix subulata",0,595
"Thricops albibasalis",0,3205
"Thricops rufisquamus",22,0
"Thricops villicrus",3454,3537
"Tipula cineracea",98,0
"Tricimba melancholica",0,269
"Trypodendron retusum",0,16
"Trypoxylon frigidum",0,8
"Uroleucon taraxaci",0,21
"Valenzuela flavidus",0,2985
"Vertigo cristata",0,48
"Willowsia buskii",0,43
"Xylota subfasciata",0,103917
"Zaphne borealis",0,919
"Zaphne zetterstedtii",1387,64
